station_id,station_name,operator_name,latitude,longitude
508022,Plenoil la Orotava 2,Plenergy (ES),28.393935446275947,-16.548523955647937
508021,Parking NN Espronceda,eTecnic,41.41326312976466,2.194730761507657
508020,Parking Garatge 2000,eTecnic,41.40615183616217,2.168253021145091
508019,Ayunt. Olost Piscines,eTecnic,41.98366446723537,2.1001339778105717
508018,Parking NN Diagonal,eTecnic,41.388386572639604,2.1308336627634787
508017,Parking Via Augusta,eTecnic,41.40149641039966,2.1206730151371573
508016,Ford Tarragona,eTecnic,41.11618613793064,1.2302403417920686
508015,CSIC ICIFOR,(Unknown Operator),40.45538362203217,-3.749855957357113
508013,Watanya: Assyut West RD ⛽,MegaPlug (EG),29.815242,31.054165
508012,Porto ELMInya Club 🏓,Sha7en (Egypt),28.1027987,30.7811673
508011,Porto ELMInya Boardwalk 🏖️,Sha7en (Egypt),28.1021649,30.7783376
508009,Ionity Ionity Pudasjärvi,(Unknown Operator),65.360582,26.986816
508008,Virta Kauppakeskus Kaakkurinkulma,(Unknown Operator),64.9621964,25.5195007
508007,Plugit Oulun Lentoasema (OUL),Plugit,64.930373,25.377133
508005,Plugit Ideapark Seinäjoki / K-Citymarket Ideapark,Plugit,62.792884,22.794914
508004,Plugit ProDC Viinikka,Plugit,61.485579,23.776088
508003,Neste Liikenneasema Härkäpakari,(Unknown Operator),61.175203,22.682755
508002,Virta Kunnantalo pohjoinen,(Unknown Operator),61.134371,22.127171
508001,Virta north Seurakuntatalo,(Unknown Operator),61.082061,25.017505
508000,Hotel Hotelli Omenatarha,Plugit,60.321651,24.045789
507996,"Savanorių pr. 276, Kaunas",(Unknown Operator),54.9175287,23.9492233
507990,[eOne] Campera Almacen 1,eOne (UY),-34.70692939839431,-55.92741678545349
507983,Posto Vila Flor - RJ Eletropostos,(Unknown Operator),-22.815959,-43.1871
507961,"Svylos gatvė 16, Vilnius",(Unknown Operator),54.6448796,25.3064294
507959,"Svylos gatvė 8, Vilnius",(Unknown Operator),54.64044,25.30487
507958,Hotel HCC St. Moritz,(Business Owner at Location),41.39093347542584,2.1682725317274674
507956,Maxim Group 💼,MegaPlug (EG),30.090484719947625,31.374421281943114
507933,Valle Verde Center,Francis Energy,31.90541976796544,-110.9904667637636
507932,OLA: Sadat ⛽,Elsewedy Plug (EG),30.33975295869898,30.487478804575403
507931,Fira CCIB,(Business Owner at Location),41.409314466709446,2.219778157082146
507930,Galway Bus Depot,(Business Owner at Location),53.270719495356985,-9.03669036798567
507929,Sligo Bus Depot,(Business Owner at Location),54.272565096455764,-8.481817735012214
507922,EV24 Charging Station,EV24,50.563343773663334,19.575008132946984
507921,2979 - DC,Greems (IL),31.8190221,34.6622885
507920,2979 - משרדים,Greems (IL),31.8181435,34.6667286
507919,2898 - הרב אבא אבוחצירא (פרטי),Greems (IL),31.5396573,34.5971238
507895,Comharchumann Forbartha Chorca Dhuibhne,Monta,52.15878624081847,-10.423914949774826
507892,B& B Hotel Carabanchel ,(Unknown Operator),40.36904228964798,-3.7421557598081563
507891,Spot Mall 🛍️,Electra (EG),30.309670332198465,31.720531291503676
507890,A1: Shorouk 1 ⛽,MegaPlug (EG),30.180886,31.605235
507869,Cepsa A Groba,Moeve (ES),42.31371381248513,-8.094355143528901
507868,Asador Montelueño (Iberdrola),Iberdrola | BP Pulse (ES),42.05809422865764,-6.66250883813467
507867,Caldas Da Rainha (Zunder),Zunder,39.41671257031297,-9.15062970400868
507866,Mobive | La Souterraine | Rue des Fossés des Canards,MObiVE,46.23616558593167,1.486502460810243
507865,Tesla Supercharger Lexy,Tesla (including non-tesla),49.51275009526057,5.730862806088339
507864,[ChargeBox] Parking La Rural,Chargebox (AR),-34.573128487687164,-58.41401665074443
507863,[EVE] Axion Cardona,Eve Move (UY),-33.874797963352684,-57.37263645991999
507862,[eOne] Via Disegno,eOne (UY),-34.84374762153571,-56.01587055391224
507861,[eONE] Paseo del Este 1,eOne (UY),-34.88035946616161,-54.9512328656574
507859,Club House Florence,PLN (Indonesia),-6.106775,106.760265
507829,Wesco Reed City,Red E Charge,43.88602681445738,-85.52308556113815
507828,Museo Del Calzado Y De La Industria,Eranovum (ES),39.715378275151494,2.907396048237871
507827,SPKLU UJB UPT Cawang 1,PLN (Indonesia),-6.262716,106.866792
507826,Mercacentro,GC Movilidad Electrica (ES),27.844193199581213,-15.444120820117377
507825,Calle Alfred Nóbel,GC Movilidad Electrica (ES),28.091871489667028,-15.45197194945041
507824,Ayunt. Sevilla. Calle José Velázquez Sánchez (Eranovum),Eranovum (ES),37.37575942235921,-6.002784990910044
507823,FamilyCash Montilla,Eranovum (ES),37.57575328045854,-4.659449762380262
507822,Ayunt. Navalcarnero. Ciudad Deportiva,Qwello,40.29403650375468,-3.99313101850521
507821,FOC AC-Charger,Shell Recharge Solutions (DE),47.57650282047814,10.671842067043627
507820,Carrefour Lucena (Endesa),Endesa,37.413815462989746,-4.506830237380939
507819,FOC DC-Charger,Shell Recharge Solutions (DE),47.57628797669855,10.672591175471098
507818,Parking Caravanas El Pueyo,Electromaps,42.720276225851904,-0.30140412348754353
507817,BM Tafalla,Zunder,42.52314077674856,-1.6799853601577865
507816,Biteri etorbidea,(Unknown Operator),43.065087849163376,-2.4880281858356454
507815,Incalplas,EDP,42.19938468042085,-7.796166394529081
507814,Club Gimnas,Iberdrola | BP Pulse (ES),41.405204953702395,2.0195056740792836
507813,Caprabo Mollerussa,Iberdrola | BP Pulse (ES),41.629356780287026,0.9094765898479409
507812,Mercadona Centro Logístico Vitoria,Mercadona,42.843262606460456,-2.7621269656033007
507811,Alcampo Vilagarcía,Iberdrola | BP Pulse (ES),42.218984161448105,-8.745132638186021
507810,Parking Parador de Cazotla,ChargeGuru,37.90312009897161,-2.962267746360709
507809,Hotel Restaurante HQ La Galería,Iberdrola | BP Pulse (ES),42.37524909014766,-3.7238404678070083
507808,Parque Comercial Alarzón (Burgos),Iberdrola | BP Pulse (ES),42.32455039478188,-3.701814618796334
507807,C.C. Los Alcores Sevilla,Iberdrola | BP Pulse (ES),37.35170529107255,-5.858033823158053
507806,Manises,Iberdrola | BP Pulse (ES),39.48553108182733,-0.46454966012356635
507805,Polytron Kudus,PLN (Indonesia),-6.797230000000326,110.83275299999764
507804,Fastned - Mundolsheim,FastNed,48.647797699168905,7.723145733470346
507803,Hotel Laksa Ciater,PLN (Indonesia),-6.7155702711097405,107.66477196384892
507802,Kantor BPKP,PLN (Indonesia),-6.192540417202082,106.87055681467791
507801,Starlite Sunter Bisma,PLN (Indonesia),-6.130753,106.866193
507791,Fonseca Supermercados,(Unknown Operator),-21.598719,-46.892115
507780,Warren Lodge ,evyve,53.59962818709755,-0.6791956602381788
507779,McDonald's - Gallagher Retail Park,InstaVolt Ltd,53.588794531295605,-0.6945538241340046
507772,Гостиница Карелия 282 км,Punkt-E,61.023735,33.014368
507771,ЖК Сколково Уан,Punkt-E,55.682307,37.410789
507763,Eldrive Lithuania Panemunės Baseinas,Eldrive Lithuania (LT),54.866824,23.971613
507746,Energía Nufri,eTecnic,41.63800262345424,0.8872416053239647
507745,AmericaWant AW00012,AmericaWant (AR),-31.415832,-64.17962
507744,AmericaWant AW00011,AmericaWant (AR),-31.415832,-64.179621
507743,AmericaWant AW00007,AmericaWant (AR),-32.664776,-60.792247
507742,AmericaWant AW00009,AmericaWant (AR),-38.688471,-62.279964
507741,AmericaWant AW00004,AmericaWant (AR),-33.994812,-61.959972
507740,AmericaWant AW00001,AmericaWant (AR),-31.340286,-64.2189
507739,Cepsa Gandia,Endesa,38.98293346000955,-0.1844453113254758
507738,GM Oil,Endesa,36.734067051747346,-3.509017229067524
507737,Calle Los Jazmines,Endesa,27.77204969576958,-15.540893440225517
507736,Calle Montalbán,Endesa,37.39749166229544,-4.764929622466269
507725,Gasóleos Teruel,(Unknown Operator),40.85458729791429,-1.9110521549598616
507724,"Arinna Garden Sitesi, Çorum Merkez - AC 2",Otopriz (Türkiye),40.57375121016675,34.97127999999999
507715,Via Francesco Borromini,(Unknown Operator),38.123236925457036,13.327889344944992
507714,Präg Express Ladestelle,Shell Recharge Solutions (DE),47.57938116761821,10.741054762802122
