session_id,customer_id,station_id,connection_id,date_id,kwh_charged,duration_minutes,revenue_usd,cost_usd
1103,3689817111,999999,999999,20260829,30.15,95,12.06,5.43
1199,1955938755,999999,999999,20260810,75.97,13,30.39,13.67
1209,3093786338,999999,999999,20260823,5.4,25,2.16,0.97
1287,3262834139,999999,999999,20260903,42.25,93,16.9,7.6
1338,4094725180,999999,999999,20260905,61.29,71,24.52,11.03
1389,2098921567,999999,999999,20260829,65.05,103,26.02,11.71
1405,2621505934,999999,999999,20260821,30.6,39,12.24,5.51
1442,2876702225,999999,999999,20260827,83.93,114,33.57,15.11
1500,4183200760,999999,999999,20260820,83.9,93,33.56,15.1
1618,2268755980,999999,999999,20260905,27.15,103,10.86,4.89
1744,189553806,999999,999999,20260905,45.22,86,18.09,8.14
1803,4244850938,999999,999999,20260810,51.1,28,20.44,9.2
1887,3216520138,999999,999999,20260906,57.22,51,22.89,10.3
2000,3846688923,999999,999999,20260813,40.68,109,16.27,7.32
2113,2235606647,999999,999999,20260903,22.91,37,9.16,4.12
2277,3952089821,999999,999999,20260905,24.36,41,9.74,4.38
2350,1119232134,999999,999999,20260901,8.21,17,3.28,1.48
2401,2357470559,999999,999999,20260825,18.36,17,7.34,3.3
2532,2326901845,999999,999999,20260906,53.83,10,21.53,9.69
2746,37825252,999999,999999,20260817,43.51,42,17.4,7.83
1103,3689817111,999999,999999,20260829,30.15,95,12.06,5.43
1199,1955938755,999999,999999,20260810,75.97,13,30.39,13.67
1209,3093786338,999999,999999,20260823,5.4,25,2.16,0.97
1287,3262834139,999999,999999,20260903,42.25,93,16.9,7.6
1338,4094725180,999999,999999,20260905,61.29,71,24.52,11.03
1389,2098921567,999999,999999,20260829,65.05,103,26.02,11.71
1405,2621505934,999999,999999,20260821,30.6,39,12.24,5.51
1442,2876702225,999999,999999,20260827,83.93,114,33.57,15.11
1500,4183200760,999999,999999,20260820,83.9,93,33.56,15.1
1618,2268755980,999999,999999,20260905,27.15,103,10.86,4.89
1744,189553806,999999,999999,20260905,45.22,86,18.09,8.14
1803,4244850938,999999,999999,20260810,51.1,28,20.44,9.2
1887,3216520138,999999,999999,20260906,57.22,51,22.89,10.3
2000,3846688923,999999,999999,20260813,40.68,109,16.27,7.32
2113,2235606647,999999,999999,20260903,22.91,37,9.16,4.12
2277,3952089821,999999,999999,20260905,24.36,41,9.74,4.38
2350,1119232134,999999,999999,20260901,8.21,17,3.28,1.48
2401,2357470559,999999,999999,20260825,18.36,17,7.34,3.3
2532,2326901845,999999,999999,20260906,53.83,10,21.53,9.69
2746,37825252,999999,999999,20260817,43.51,42,17.4,7.83
1103,3689817111,999999,999999,20260829,30.15,95,12.06,5.43
1199,1955938755,999999,999999,20260810,75.97,13,30.39,13.67
1209,3093786338,999999,999999,20260823,5.4,25,2.16,0.97
1287,3262834139,999999,999999,20260903,42.25,93,16.9,7.6
1338,4094725180,999999,999999,20260905,61.29,71,24.52,11.03
1389,2098921567,999999,999999,20260829,65.05,103,26.02,11.71
1405,2621505934,999999,999999,20260821,30.6,39,12.24,5.51
1442,2876702225,999999,999999,20260827,83.93,114,33.57,15.11
1500,4183200760,999999,999999,20260820,83.9,93,33.56,15.1
1618,2268755980,999999,999999,20260905,27.15,103,10.86,4.89
1744,189553806,999999,999999,20260905,45.22,86,18.09,8.14
1803,4244850938,999999,999999,20260810,51.1,28,20.44,9.2
1887,3216520138,999999,999999,20260906,57.22,51,22.89,10.3
2000,3846688923,999999,999999,20260813,40.68,109,16.27,7.32
2113,2235606647,999999,999999,20260903,22.91,37,9.16,4.12
2277,3952089821,999999,999999,20260905,24.36,41,9.74,4.38
2350,1119232134,999999,999999,20260901,8.21,17,3.28,1.48
2401,2357470559,999999,999999,20260825,18.36,17,7.34,3.3
2532,2326901845,999999,999999,20260906,53.83,10,21.53,9.69
2746,37825252,999999,999999,20260817,43.51,42,17.4,7.83
1103,3689817111,999999,999999,20260829,30.15,95,12.06,5.43
1199,1955938755,999999,999999,20260810,75.97,13,30.39,13.67
1209,3093786338,999999,999999,20260823,5.4,25,2.16,0.97
1287,3262834139,999999,999999,20260903,42.25,93,16.9,7.6
1338,4094725180,999999,999999,20260905,61.29,71,24.52,11.03
1389,2098921567,999999,999999,20260829,65.05,103,26.02,11.71
1405,2621505934,999999,999999,20260821,30.6,39,12.24,5.51
1442,2876702225,999999,999999,20260827,83.93,114,33.57,15.11
1500,4183200760,999999,999999,20260820,83.9,93,33.56,15.1
1618,2268755980,999999,999999,20260905,27.15,103,10.86,4.89
1744,189553806,999999,999999,20260905,45.22,86,18.09,8.14
1803,4244850938,999999,999999,20260810,51.1,28,20.44,9.2
1887,3216520138,999999,999999,20260906,57.22,51,22.89,10.3
2000,3846688923,999999,999999,20260813,40.68,109,16.27,7.32
2113,2235606647,999999,999999,20260903,22.91,37,9.16,4.12
2277,3952089821,999999,999999,20260905,24.36,41,9.74,4.38
2350,1119232134,999999,999999,20260901,8.21,17,3.28,1.48
2401,2357470559,999999,999999,20260825,18.36,17,7.34,3.3
2532,2326901845,999999,999999,20260906,53.83,10,21.53,9.69
2746,37825252,999999,999999,20260817,43.51,42,17.4,7.83
