date_id,full_date,day_of_week,month,year
20260809,2026-08-09,Sunday,8,2026
20260815,2026-08-15,Saturday,8,2026
20260904,2026-09-04,Friday,9,2026
20260906,2026-09-06,Sunday,9,2026
20260810,2026-08-10,Monday,8,2026
20260813,2026-08-13,Thursday,8,2026
20260819,2026-08-19,Wednesday,8,2026
20260808,2026-08-08,Saturday,8,2026
20260829,2026-08-29,Saturday,8,2026
20260822,2026-08-22,Saturday,8,2026
20260827,2026-08-27,Thursday,8,2026
20260826,2026-08-26,Wednesday,8,2026
20260903,2026-09-03,Thursday,9,2026
20260812,2026-08-12,Wednesday,8,2026
20260818,2026-08-18,Tuesday,8,2026
20260816,2026-08-16,Sunday,8,2026
20260824,2026-08-24,Monday,8,2026
20260823,2026-08-23,Sunday,8,2026
20260821,2026-08-21,Friday,8,2026
20260905,2026-09-05,Saturday,9,2026
20260814,2026-08-14,Friday,8,2026
20260825,2026-08-25,Tuesday,8,2026
20260901,2026-09-01,Tuesday,9,2026
20260902,2026-09-02,Wednesday,9,2026
20260811,2026-08-11,Tuesday,8,2026
20260820,2026-08-20,Thursday,8,2026
20260831,2026-08-31,Monday,8,2026
20260828,2026-08-28,Friday,8,2026
20260817,2026-08-17,Monday,8,2026
20260830,2026-08-30,Sunday,8,2026
20260907,2026-09-07,Monday,9,2026
