session_id,customer_id,station_id,connection_id,date_id,kwh_charged,duration_minutes,revenue_usd,cost_usd
1001,945752108,507763,872667,20260809,34.96,101,13.98,6.29
1003,4206691649,507818,872793,20260815,63.56,44,25.42,11.44
1004,3630356937,507810,872784,20260904,52.89,64,21.16,9.52
1005,928631586,507807,872779,20260906,17.48,101,6.99,3.15
1006,3777134967,507763,872674,20260810,17.48,23,6.99,3.15
1007,4058636535,507763,872665,20260813,9.65,19,3.86,1.74
1008,2517344803,507996,873159,20260819,74.29,89,29.72,13.37
1009,940584763,507763,872661,20260904,53.09,25,21.24,9.56
1010,2252475184,508012,873187,20260904,61.65,63,24.66,11.1
1011,2401773506,507919,872978,20260819,6.65,104,2.66,1.2
1012,2815538481,507739,872626,20260906,82.59,115,33.04,14.87
1013,3348316481,507738,872624,20260808,71.6,98,28.64,12.89
1014,587592620,507763,872662,20260829,21.99,86,8.8,3.96
1015,138025231,507806,872776,20260822,19.55,79,7.82,3.52
1016,1805398712,507807,872781,20260819,19.67,53,7.87,3.54
1017,4267344724,507930,873007,20260813,29.34,82,11.74,5.28
1018,977137242,508016,873192,20260827,46.98,54,18.79,8.46
1019,2880027707,507738,872623,20260826,39.56,109,15.82,7.12
1020,849230422,508003,873173,20260906,28.3,65,11.32,5.09
1021,3293196591,507803,872770,20260810,53.95,116,21.58,9.71
1022,2254823928,507996,873159,20260903,16.16,93,6.46,2.91
1023,3848422742,507919,872977,20260827,28.37,91,11.35,5.11
1024,3254837508,507806,872777,20260904,34.31,116,13.72,6.18
1025,3848460415,507919,872984,20260826,41.49,66,16.6,7.47
1026,3091229601,508011,873186,20260812,67.81,30,27.12,12.21
1027,3343367651,507819,872795,20260819,20.97,77,8.39,3.77
1028,1153406706,507715,872554,20260812,46.14,59,18.46,8.31
1029,365777297,507771,872714,20260813,52.39,42,20.96,9.43
1030,3649385704,507919,872978,20260822,8.72,100,3.49,1.57
1031,550233562,507829,872813,20260826,53.6,16,21.44,9.65
1032,484257161,507819,872795,20260826,18.64,79,7.46,3.36
1033,191597805,507771,872713,20260818,10.2,24,4.08,1.84
1035,3881834083,507829,872812,20260903,82.25,41,32.9,14.8
1036,1530433532,507763,872665,20260816,69.67,84,27.87,12.54
1037,1063808404,507763,872662,20260827,29.37,29,11.75,5.29
1038,2103909611,507866,872874,20260904,12.81,97,5.12,2.31
1039,2662563501,507763,872663,20260824,59.74,24,23.9,10.75
1040,2180458703,507862,872868,20260819,40.21,57,16.08,7.24
1041,2506277267,507859,872864,20260823,14.76,80,5.9,2.66
1042,3698595992,508016,873192,20260821,44.61,30,17.84,8.03
1043,3433169144,507815,872789,20260818,7.75,51,3.1,1.4
1044,2656314607,507741,872629,20260818,77.75,35,31.1,14.0
1045,2881014442,507919,872987,20260827,25.7,117,10.28,4.63
1046,3121471029,507983,873114,20260815,58.0,23,23.2,10.44
1047,2977596297,507763,872670,20260815,29.94,66,11.98,5.39
1048,1233301152,507866,872873,20260904,46.61,46,18.64,8.39
1049,3965327326,507763,872659,20260906,48.74,67,19.5,8.77
1050,3649708951,508001,873171,20260905,19.79,30,7.92,3.56
1051,4200502876,507820,872799,20260826,82.57,91,33.03,14.86
1052,2127110445,508022,873199,20260815,67.01,78,26.8,12.06
1053,490179552,508020,873197,20260813,80.16,12,32.06,14.43
1054,1756661151,507863,872869,20260813,76.59,96,30.64,13.79
1055,809220928,508007,873179,20260816,52.83,99,21.13,9.51
1056,607168251,507802,872769,20260906,78.75,46,31.5,14.18
1057,4136470237,507746,872636,20260827,12.08,97,4.83,2.17
1058,2940329442,507741,872629,20260906,20.68,58,8.27,3.72
1059,4132145189,507807,872780,20260903,8.62,28,3.45,1.55
1060,3966651707,507820,872798,20260904,31.03,98,12.41,5.59
1061,3290274574,507763,872659,20260814,36.09,94,14.44,6.5
1062,2832743674,507807,872781,20260825,26.71,21,10.68,4.81
1063,238729076,507763,872664,20260822,71.3,70,28.52,12.83
1064,1237895044,507866,872874,20260816,33.54,50,13.42,6.04
1065,1442599493,507819,872795,20260808,27.47,42,10.99,4.94
1066,2439777679,507919,872986,20260901,48.42,59,19.37,8.72
1067,357484052,507864,872870,20260902,16.27,77,6.51,2.93
1068,964977180,507772,872715,20260823,69.18,115,27.67,12.45
1069,1638426293,507865,872871,20260816,10.96,80,4.38,1.97
1070,2520992813,507861,872867,20260816,83.95,95,33.58,15.11
1071,1310525294,507806,872774,20260906,66.78,42,26.71,12.02
1072,3491204554,507816,872791,20260901,20.9,90,8.36,3.76
1073,1802203264,507763,872657,20260814,5.44,33,2.18,0.98
1074,2966482631,508017,873193,20260823,70.24,70,28.1,12.64
1075,3952752362,507779,872725,20260811,61.55,70,24.62,11.08
1076,757345073,507961,873060,20260905,63.32,107,25.33,11.4
1077,1717584730,507810,872784,20260812,66.7,37,26.68,12.01
1078,46888756,507772,872715,20260812,10.92,67,4.37,1.97
1079,2232359740,507920,872988,20260814,33.68,52,13.47,6.06
1080,668000437,507866,872874,20260904,14.27,50,5.71,2.57
1082,2865167822,508002,873172,20260818,54.86,95,21.94,9.87
1083,3455309147,507806,872777,20260823,31.47,58,12.59,5.66
1084,3971524963,507826,872809,20260826,10.08,26,4.03,1.81
1085,3827994564,507744,872633,20260902,29.88,107,11.95,5.38
1086,519986554,507807,872780,20260814,31.01,79,12.4,5.58
1087,807695504,507739,872626,20260819,63.37,119,25.35,11.41
1088,646541302,507824,872805,20260825,56.0,79,22.4,10.08
1089,4250566142,507890,872915,20260906,75.98,107,30.39,13.68
1090,3199662089,507816,872791,20260906,42.78,74,17.11,7.7
1091,2248888621,507746,872635,20260808,14.57,83,5.83,2.62
1092,3395830272,507806,872775,20260811,62.06,94,24.82,11.17
1093,4235788067,508005,873175,20260811,65.86,14,26.34,11.85
1094,273113139,507824,872805,20260824,49.9,11,19.96,8.98
1095,2601464721,507806,872775,20260902,66.68,31,26.67,12.0
1096,3673227503,507922,872997,20260822,44.5,66,17.8,8.01
1097,3191305701,507869,872878,20260819,46.82,75,18.73,8.43
1098,1164765045,507919,872987,20260905,39.2,83,15.68,7.06
1099,810345575,507763,872675,20260820,7.03,107,2.81,1.27
1101,2033434088,507763,872674,20260813,7.51,60,3.0,1.35
1102,2675566805,507811,872785,20260829,55.91,48,22.36,10.06
1104,32855983,507983,873114,20260831,45.69,85,18.28,8.22
1105,3381219083,507815,872789,20260813,77.61,97,31.04,13.97
1106,2727370518,508009,873181,20260828,24.94,49,9.98,4.49
1107,2404419103,507919,872979,20260813,37.83,47,15.13,6.81
1108,3454400264,508009,873181,20260817,65.44,69,26.18,11.78
1109,1148599391,507890,872915,20260903,23.3,68,9.32,4.19
1110,3255824464,507863,872869,20260815,11.16,19,4.46,2.01
1111,653777687,507806,872777,20260817,28.18,108,11.27,5.07
1112,3360460322,507763,872674,20260831,17.9,73,7.16,3.22
1113,2726242008,507931,873009,20260812,79.38,72,31.75,14.29
1114,2266416671,507922,872996,20260904,69.65,58,27.86,12.54
1115,2083335098,507763,872662,20260811,55.67,73,22.27,10.02
1116,4285373405,507742,872630,20260813,74.72,41,29.89,13.45
1117,475638268,507763,872667,20260816,69.29,16,27.72,12.47
1118,468813756,507771,872713,20260901,19.93,30,7.97,3.59
1119,2343254296,508022,873199,20260819,76.4,29,30.56,13.75
1120,1442950517,507771,872714,20260811,48.15,35,19.26,8.67
1121,93592440,507919,872978,20260827,69.6,77,27.84,12.53
1122,3263079797,508013,873188,20260827,76.69,119,30.68,13.8
1123,1617899886,507746,872635,20260830,30.44,95,12.18,5.48
1125,2837239234,507866,872874,20260816,23.23,113,9.29,4.18
1126,3192229528,508013,873188,20260823,39.17,94,15.67,7.05
1127,2219566084,507920,872989,20260811,70.44,88,28.18,12.68
1128,1142025144,507959,873058,20260823,73.86,95,29.54,13.29
1129,787799932,507812,872786,20260811,5.56,101,2.22,1.0
1130,2249489322,508001,873171,20260902,45.86,23,18.34,8.25
1131,1268689674,507724,872600,20260811,38.39,36,15.36,6.91
1132,1380417017,507763,872668,20260817,22.77,114,9.11,4.1
1134,3140998231,507816,872791,20260820,32.01,67,12.8,5.76
1135,832576436,507829,872813,20260814,80.43,37,32.17,14.48
1136,1601735312,507763,872667,20260905,30.86,35,12.34,5.55
1137,854343120,507820,872799,20260812,46.5,72,18.6,8.37
1138,2391252662,507919,872981,20260905,61.24,75,24.5,11.02
1139,3608859090,507771,872714,20260821,34.09,34,13.64,6.14
1140,4161208473,507919,872986,20260823,82.74,12,33.1,14.89
1141,3683694672,507714,872553,20260821,82.0,81,32.8,14.76
1142,2451400842,507815,872789,20260815,25.14,53,10.06,4.53
1143,4223739969,507929,873006,20260830,44.78,106,17.91,8.06
1144,335366152,507780,872727,20260812,29.07,51,11.63,5.23
1145,4138624700,507930,873007,20260830,27.79,108,11.12,5.0
1146,360483984,507763,872666,20260812,7.95,15,3.18,1.43
1147,2942466477,508022,873199,20260902,53.77,48,21.51,9.68
1148,3212118634,507821,872800,20260815,45.21,61,18.08,8.14
1149,3373343843,507930,873007,20260811,9.12,32,3.65,1.64
1150,2186164754,508017,873193,20260826,27.29,98,10.92,4.91
1151,3145271749,507803,872770,20260816,77.66,59,31.06,13.98
1152,1255986331,507771,872713,20260904,24.16,52,9.66,4.35
1153,715023538,507866,872872,20260907,16.59,28,6.64,2.99
1154,2828002655,507772,872715,20260904,44.16,78,17.66,7.95
1155,3406218692,507990,873122,20260813,83.85,60,33.54,15.09
1156,3011127377,507959,873058,20260821,24.36,20,9.74,4.38
1157,2524958777,507714,872553,20260813,58.77,21,23.51,10.58
1158,893608940,508015,873190,20260821,65.93,83,26.37,11.87
1159,2496796435,507825,872808,20260907,24.01,17,9.6,4.32
1161,901303656,507736,872615,20260821,34.42,101,13.77,6.2
1162,4212663207,507763,872667,20260820,55.58,50,22.23,10.0
1163,526423805,507863,872869,20260813,55.68,45,22.27,10.02
1164,1810964990,507823,872803,20260822,47.86,110,19.14,8.61
1165,604316012,507809,872783,20260808,12.22,94,4.89,2.2
1166,1555160987,507744,872633,20260814,71.82,81,28.73,12.93
1167,3478331843,507809,872783,20260816,30.66,64,12.26,5.52
1168,70607102,508005,873175,20260904,19.92,18,7.97,3.59
1169,3401062449,507763,872659,20260904,8.26,56,3.3,1.49
1170,3723646281,507763,872660,20260814,52.27,24,20.91,9.41
1171,2028296787,507921,872994,20260815,59.21,57,23.68,10.66
1172,3848209590,507746,872636,20260826,6.33,119,2.53,1.14
1173,2620115409,507961,873060,20260829,45.97,113,18.39,8.27
1175,1168682530,507763,872671,20260826,56.61,51,22.64,10.19
1176,956070464,507920,872991,20260826,18.95,69,7.58,3.41
1177,2891584360,508000,873170,20260820,60.28,93,24.11,10.85
1178,427943400,507779,872724,20260825,35.94,79,14.38,6.47
1179,944174914,507815,872789,20260816,79.94,21,31.98,14.39
1180,2791179328,507959,873058,20260816,16.0,11,6.4,2.88
1181,3963644751,508017,873193,20260828,32.29,16,12.92,5.81
1182,3933515834,507919,872978,20260817,14.08,89,5.63,2.53
1183,1408684195,507806,872775,20260828,78.98,12,31.59,14.22
1184,1521968540,507990,873122,20260821,75.19,118,30.08,13.53
1185,964851996,507804,872771,20260813,25.64,12,10.26,4.62
1186,1672652760,507823,872804,20260810,57.8,36,23.12,10.4
1187,2194182913,507890,872915,20260819,70.38,116,28.15,12.67
1188,72608429,507866,872872,20260830,49.42,49,19.77,8.9
1190,2519145373,507933,873011,20260819,24.35,42,9.74,4.38
1191,2437825064,507919,872985,20260818,12.45,101,4.98,2.24
1192,3295547893,507763,872669,20260824,76.78,10,30.71,13.82
1193,485194781,507811,872785,20260812,77.03,17,30.81,13.87
1194,1670092965,507807,872779,20260825,55.65,110,22.26,10.02
1195,3332620721,507746,872635,20260903,32.12,41,12.85,5.78
1196,3223497029,507829,872812,20260809,32.94,57,13.18,5.93
1197,1517441996,507737,872617,20260821,63.08,116,25.23,11.35
1198,688580903,508011,873186,20260905,76.77,110,30.71,13.82
1200,1022479384,507807,872780,20260906,67.39,103,26.96,12.13
1201,3801604976,508011,873186,20260825,56.36,79,22.54,10.14
1202,1268450353,507806,872777,20260829,11.73,119,4.69,2.11
1203,3287761988,507715,872554,20260827,17.93,28,7.17,3.23
1204,512469214,507763,872657,20260821,76.88,41,30.75,13.84
1205,2052669696,507745,872634,20260829,53.51,18,21.4,9.63
1206,2770330688,507807,872780,20260902,5.74,21,2.3,1.03
1207,503610507,507746,872636,20260826,13.12,20,5.25,2.36
1208,2347762365,507739,872626,20260812,58.08,55,23.23,10.45
1210,3610808152,507763,872657,20260823,17.86,10,7.14,3.21
1211,3256095705,507932,873010,20260828,48.9,72,19.56,8.8
1212,3152058687,507808,872782,20260828,60.35,118,24.14,10.86
1213,3093425616,507819,872795,20260904,57.16,30,22.86,10.29
1214,3013631737,507921,872994,20260817,22.94,39,9.18,4.13
1215,4121333685,507806,872775,20260827,61.97,22,24.79,11.15
1216,119061882,507990,873122,20260907,23.98,43,9.59,4.32
1217,1439064472,507763,872672,20260828,31.03,13,12.41,5.59
1218,1271679443,508005,873176,20260823,64.72,37,25.89,11.65
1219,5179262,508007,873179,20260818,56.97,111,22.79,10.25
1220,2100706625,507920,872991,20260905,72.94,104,29.18,13.13
1221,838162660,507810,872784,20260831,57.61,68,23.04,10.37
1222,644613516,507920,872991,20260830,50.46,36,20.18,9.08
1224,2378306358,507801,872768,20260816,34.42,34,13.77,6.2
1225,2155369804,507763,872663,20260822,26.22,12,10.49,4.72
1226,2360018759,507763,872663,20260813,24.52,106,9.81,4.41
1227,2727738758,507919,872980,20260823,82.84,77,33.14,14.91
1228,2154538574,507861,872867,20260818,36.45,34,14.58,6.56
1229,3691886083,507919,872978,20260809,76.36,29,30.54,13.74
1230,2385901302,507895,872922,20260820,55.49,43,22.2,9.99
1231,3422365998,507920,872989,20260907,68.58,35,27.43,12.34
1232,3392082047,507743,872632,20260830,45.21,14,18.08,8.14
1233,3089212158,507763,872664,20260905,51.15,108,20.46,9.21
1234,904597321,507745,872634,20260827,44.4,70,17.76,7.99
